topic,hook,line1,line2,line3,line4,line5,cta,title_base
silence_peace,रुको— एकांत में ही शांति है।,"जब दुनिया बहुत तेज़ लगे, थोड़ा रुक जाओ।","गंगा की तरह बहना सीखो, हर बात को पकड़ना नहीं।","जो चीज़ तुम्हारी नहीं, उसे जाने दो।","शांति किसी जगह नहीं, तुम्हारे अंदर का फैसला है।","आज बस एक सांस धीरे लो, और खुद को माफ़ करो।",रोज़ाना मन की शांति के लिए फॉलो करें। फिर से सुनो।,Ekant me hi shanti hai
rishikesh_sukoon,एक सच सुनो: ऋषिकेश का सुकून।,पहाड़ों के बीच एक अजीब सी ख़ामोशी मिलती है।,"यहाँ आवाज़ कम होती है, पर जवाब ज़्यादा मिलते हैं।","गंगा देखकर समझ आता है, बहना भी इबादत है।","तुम्हारा मन भी तब हल्का होता है, जब तुम ज़िद छोड़ देते हो।",आज अपने लिए दो मिनट शांति चुनो।,इसे शांति भरे पल के लिए सेव करें। दोबारा देखो।,Rishikesh ka sukoon
detachment,"क्या तुम्हें पता है? लगाव कम, शांति ज़्यादा।",हर रिश्ता पकड़ने के लिए नहीं होता।,"कुछ लोग ज़िंदगी में प्रार्थना बनकर आते हैं, और सीख बनकर चले जाते हैं।","जो रुकना नहीं चाहता, उसे इज़्ज़त से जाने दो।",तुम्हारी शांति किसी और के मूड पर निर्भर नहीं होनी चाहिए।,अपने अंदर वापस लौटना ही असली जीत है।,"जिसे शांति की ज़रूरत हो, उसके साथ साझा करें। एक बार और सुनो।","Lagav kam, shanti zyada"
karma,आज की सच्चाई: शांति और कर्म।,अच्छा कर्म शोर नहीं करता।,"जो तुम चुपचाप सही करते हो, वही तुम्हारी पहचान बनाता है।",हर जवाब देना ज़रूरी नहीं होता।,"कभी कभी सबसे बड़ा बल, चुप रहकर भी दया रखना होता है।","आज किसी के लिए अच्छा सोचो, बिना बताए।",मन की सजगता के लिए फॉलो करें। फिर से महसूस करो।,Shanti aur karma
brahma_muhurta,ज़रा रुक जाओ। सुबह का एक सच।,सुबह का पहला पल तुम्हारे मन को तय करता है।,फ़ोन छूने से पहले अपनी सांस को महसूस करो।,"तीन गहरी सांसें लो, और एक छोटा सा संकल्प बोलो।","मैं शांत हूँ, मैं जागरूक हूँ, मैं आज बेहतर चुनूंगा।",दिन को जीतना हो तो शुरुआत को पवित्र रखो।,कल सुबह के लिए सेव करें। इसे फिर सुनो।,Subah ka ek sach
kashi_ghat,यह बात ध्यान से सुनो: काशी की ख़ामोशी।,"कुछ जगहें इंसान को छोटा नहीं, गहरा बना देती हैं।",घाट पर बैठकर समझ आता है कि हर पल नया है।,"जो बीत गया, उसकी राख पकड़कर जीना बंद करो।","जीवन तब हल्का होता है, जब तुम स्वीकार करना सीखते हो।",आज बस इतना याद रखो: तुम दोबारा शुरू कर सकते हो।,"शांत यात्रा विचारों के लिए फॉलो करें। रुको, फिर से सुनो।",Kashi ki khamoshi
mountain_mind,यह जान लो: पहाड़ों जैसा मन।,"पहाड़ हमें सिखाते हैं, मज़बूत रहना शोर से नहीं होता।","जब आंधी आए, अपनी जड़ों को याद करो।",तुम्हारा धैर्य ही तुम्हारी तपस्या है।,"हर मुश्किल तुम्हें तोड़ने नहीं, साफ़ करने आती है।","धीरे चलो, पर अपने रास्ते पर रहो।","अगर यह महसूस हुआ हो, तो कमेंट में 'शांति' लिखें। फिर से सुनो।",Pahadon jaisa mann
inner_home,एक मिनट रुको: अपने अंदर वापस आओ।,"तुम दुनिया में जितना भागोगे, मन उतना थक जाएगा।",कभी कभी सबसे ज़रूरी यात्रा अंदर की होती है।,"आँखें बंद करो, और अपनी सांस को घर का रास्ता बनने दो।","जो सुकून तुम ढूंढ रहे हो, वो तुमसे दूर नहीं है।",बस कुछ पल अपने साथ ईमानदार रहो।,इस अभ्यास को सेव करें। दोबारा देखो।,Apne andar wapas aao
silence_peace,"रुको— शोर से दूर, खुद के पास।","भीड़ में भी तुम अकेले महसूस कर सकते हो, यह सामान्य है।","अपने विचारों को सुनने के लिए, थोड़ी खामोशी चाहिए।",हर आवाज़ का जवाब देना ज़रूरी नहीं।,"जो शांत बैठ सकता है, वही खुद को सच में जानता है।",आज पाँच मिनट सिर्फ सांस के साथ बिताओ।,इस शांति को सेव करके रखें। एक बार और सुनो।,"Shor se door, khud ke paas"
silence_peace,एक सच सुनो: खामोशी एक भाषा है।,हर किसी को अपनी बात समझाने की ज़रूरत नहीं होती।,कभी कभी चुप रहना ही सबसे बड़ा जवाब होता है।,मन का शोर बंद हो तो अंदर की आवाज़ सुनाई देती है।,तुम्हें हर बहस जीतने की ज़रूरत नहीं।,"आज सिर्फ सुनो, बोलो मत।","अगर यह छू गया हो, तो सेव करें। फिर से महसूस करो।",Khamoshi ek bhasha hai
silence_peace,क्या तुम्हें पता है? मन की भीड़ कम करो।,"जितने विचार, उतना ही बोझ नहीं होना चाहिए।",हर सोच को महत्व देना ज़रूरी नहीं।,"जो जाने लायक है, उसे जाने दो।",एक खाली मन ही नई सोच के लिए जगह बनाता है।,आज बस एक विचार को छोड़ने का अभ्यास करो।,"जिसे शांति चाहिए, उसे भेजें। इसे फिर सुनो।",Mann ki bheed kam karo
