label,search_terms,safe_top_label,notes,hashtag
Rishikesh,"Rishikesh India Ganga river,Rishikesh India temple,Ram Jhula Rishikesh India,Rishikesh India yoga ashram,Ganga river India mountains,India river sunrise Rishikesh","RISHIKESH | UTTARAKHAND","Use only if clip is actually Rishikesh or source title/photographer confirms it.",#rishikesh
Ganga Ghat,"Ganges river India ghat,Ganga aarti India evening,India river sunset ghat,Ganges boat India","GANGA GHAT | INDIA","Safer generic label when exact city is unknown.",#ganga
Haridwar,"Haridwar India Ganga,Har Ki Pauri India,Haridwar India temple river","HARIDWAR | UTTARAKHAND","Avoid implying religious event footage is yours.",#haridwar
Kashi,"Varanasi India ghat Ganges,Kashi Varanasi India temple,Varanasi India boat sunrise,Ganga aarti Varanasi India","KASHI | VARANASI","Be respectful around cremation ghat footage; avoid sensational captions.",#varanasi
Himalaya,"Himalaya India mountains,Himalayan India valley sunrise,India mountain river Himalaya,Himalaya India clouds peaks","HIMALAYAN MORNING","Use generic when the exact place is unknown.",#himalaya
Forest,"Indian forest river,India jungle meditation,forest waterfall India,green forest path India","NATURE | INNER PEACE","Safe generic nature label.",#nature
Temple,"Indian temple morning,India temple bells travel,ancient temple India,temple courtyard India","TEMPLE TRAIL | INDIA","Avoid showing identifiable people/brands in a bad light.",#temple
Kedarnath,"Kedarnath India temple mountains,Kedarnath India snow valley,Uttarakhand India Himalaya temple,India pilgrimage snow mountains","KEDARNATH | UTTARAKHAND","Use only if clip genuinely matches the high-Himalaya/snow-valley setting.",#kedarnath
Pushkar,"Pushkar India lake,Pushkar India temple ghat,Rajasthan India lake sunset,India desert town lake","PUSHKAR | RAJASTHAN","Safe generic Rajasthan label if the exact ghat isn't confirmed.",#pushkar
Amritsar,"Golden Temple Amritsar India,Amritsar India temple evening,Punjab India temple gold,India temple reflection water","AMRITSAR | PUNJAB","Be respectful; avoid sensational captions around a living religious site.",#goldentemple
Coorg,"Coorg India misty hills,Karnataka India coffee hills fog,India hill station forest mist,Western Ghats India green hills","COORG | KARNATAKA","Generic Western Ghats label is fine if exact estate/hill isn't confirmed.",#coorg
Kerala Backwaters,"Kerala India backwaters,Alleppey India houseboat river,Kerala India palm river sunset,South India backwater calm","KERALA BACKWATERS | INDIA","Safe generic South India label.",#kerala
Ladakh,"Ladakh India mountains desert,Leh India monastery mountains,Ladakh India high altitude valley,India cold desert mountains","LADAKH | INDIA","Use generic when the exact monastery/valley isn't confirmed.",#ladakh
